"","agegroup","covid_numbers","policies_UK","rp_mean_norm","dospert_beta","objectiverisk_totalscore","numeracy_total","numeracy3","risktaking_mean","rp_individual_mean","rp_other_mean","risktaking_enforced","risktaking_recommendations"
"130","younger",7,4,0.416666666666667,-0.194050991501416,4,10,1,2,0.0833333333333333,0.666666666666667,2.25,1.83333333333333
"131","younger",1,7,0.736111111111111,-1.2,1,11,1,1.75,0.458333333333333,0.833333333333333,1.66666666666667,1.8
"132","younger",6,5,0.486111111111111,-0.170212765957447,0,8,0,2.11111111111111,0.541666666666667,0.5,1.66666666666667,2.33333333333333
"133","younger",5,6,0.75,-0.617647058823531,0,9,1,2.66666666666667,0.583333333333333,0.833333333333333,2.33333333333333,2.83333333333333
"134","younger",5,7,0.666666666666667,-0.567839195979899,1,10,0,2,0.416666666666667,0.75,1,2.66666666666667
"135","younger",6,7,0.0833333333333333,-0.669744318181818,1,11,1,3.11111111111111,0,0.125,3,3.16666666666667
"136","younger",6,5,0.680555555555556,-0.49468085106383,0,11,1,2.22222222222222,0.208333333333333,0.916666666666667,1,2.83333333333333
"137","younger",4,5,0.902777777777778,0.000000000000000171912832151066,1,8,1,1.66666666666667,0.791666666666667,0.916666666666667,1,2
"138","younger",3,4,0.222222222222222,-0.0172413793103451,1,10,1,1.5,0,0.25,1.25,1.66666666666667
"139","younger",4,3,0.736111111111111,-0.0303030303030311,0,9,1,2,0.708333333333333,0.708333333333333,1.66666666666667,2.16666666666667
"140","younger",1,5,0.625,-0.285276073619632,1,10,1,2.77777777777778,0.208333333333333,0.666666666666667,1.66666666666667,3.33333333333333
"141","younger",1,6,0.652777777777778,NA,2,11,1,1.33333333333333,0.291666666666667,0.666666666666667,1,1.5
"142","younger",3,6,0.638888888888889,0.0470588235294121,3,11,1,2.9,0.708333333333333,1,2,3.5
"143","younger",4,6,0.569444444444444,-0.553333333333334,1,11,1,2.33333333333333,0.458333333333333,0.666666666666667,2,2.5
"144","younger",6,3,0.652777777777778,0.262499999999999,1,10,0,2.4,0.5,0.833333333333333,2,2.66666666666667
"145","younger",3,4,0.555555555555556,-0.278688524590164,1,7,0,1.6,0.375,0.583333333333333,1.75,1.5
"146","younger",1,7,0.958333333333333,-1.16847826086956,1,10,1,2.44444444444444,0.875,1,1.33333333333333,3
"147","younger",6,5,0.763888888888889,-0.947368421052631,2,11,1,2.44444444444444,0.666666666666667,0.875,2,2.66666666666667
"148","younger",4,4,0.736111111111111,-0.461538461538463,1,7,0,1.9,0.708333333333333,0.583333333333333,1.5,2.16666666666667
"149","younger",6,5,0.833333333333333,-0.714285714285713,1,10,0,2.33333333333333,0.791666666666667,0.875,2.33333333333333,2.33333333333333
"150","younger",5,6,0.722222222222222,-0.352941176470588,1,11,1,2.2,0.708333333333333,0.625,1.5,2.66666666666667
"151","younger",3,2,0.694444444444444,-0.571428571428575,0,8,0,2,0.5,0.75,1,2.5
"152","younger",3,4,0.902777777777778,-0.749999999999997,0,10,1,1.9,0.791666666666667,1,1.5,2.16666666666667
"153","younger",2,6,0.680555555555556,-0.41,1,10,1,2.9,0.416666666666667,0.916666666666667,2.25,3.33333333333333
"154","younger",3,4,0.916666666666667,0,0,9,1,2,1,1,1.66666666666667,2.16666666666667
"155","younger",7,4,0.166666666666667,-0.991150442477875,2,8,0,2.22222222222222,0,0.125,2,2.33333333333333
"156","younger",7,3,0.472222222222222,-1.14285714285714,3,10,1,2.2,0.0833333333333333,0.75,1,3
"157","younger",5,4,0.722222222222222,-0.365079365079365,0,8,0,1.6,0.583333333333333,0.833333333333333,1.5,1.66666666666667
"158","younger",5,3,0.5,-0.571428571428571,0,9,0,2.3,0.0833333333333333,0.833333333333333,1.5,2.83333333333333
"159","younger",2,7,1,-0.999999999999999,2,9,0,1.5,1,1,1.25,1.66666666666667
"160","younger",3,5,0.805555555555556,-0.609756097560975,0,10,0,2,0.583333333333333,0.916666666666667,1.33333333333333,2.33333333333333
"161","younger",3,5,0.680555555555556,-0.999999999999999,0,10,1,2.5,0.583333333333333,0.625,2.25,2.66666666666667
"162","younger",7,2,0.194444444444444,-0.326732673267327,3,2,0,1.8,0,0.25,1,2.33333333333333
"163","younger",3,5,0.486111111111111,0.853658536585365,0,10,1,2.22222222222222,0.333333333333333,0.666666666666667,1.33333333333333,2.66666666666667
"164","younger",1,3,0.736111111111111,-0.109589041095889,0,11,1,1.88888888888889,0.583333333333333,0.791666666666667,1.33333333333333,2.16666666666667
"165","younger",3,7,0.513888888888889,0.499999999999999,2,4,0,1.4,0.0833333333333333,0.75,1,1.66666666666667
"166","younger",5,7,0.555555555555556,-0.599999999999991,1,8,0,1.5,0,0.833333333333333,1,1.83333333333333
"167","younger",3,5,0.416666666666667,0.000000000000000135973995551052,1,11,1,1.5,0.208333333333333,0.375,1,1.83333333333333
"168","younger",3,5,0.722222222222222,-0.799999999999999,0,11,1,2,0.5,0.75,1.25,2.5
